2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.cross_attn.rpe_table, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.cross_attn.offset_network.0.weight, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.cross_attn.offset_network.0.bias, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.cross_attn.offset_network.1.weight, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,077 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.cross_attn.offset_network.1.bias, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,077 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.cross_attn.offset_network.3.weight, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,077 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.cross_attn.q.weight, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,077 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.cross_attn.q.bias, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,077 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.cross_attn.k.weight, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,077 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.cross_attn.k.bias, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,077 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.cross_attn.v.weight, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,077 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.cross_attn.v.bias, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,077 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.cross_attn.o.weight, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,077 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.cross_attn.o.bias, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,077 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.cross_attn2.rpe_table, lr: 0.0001, weight_decay: 0.0001
